ле0000001254                            5202518000021000010002,4002022  0
ле0000001254                            3522932003562000010046,0002022  0
ле0000001254                            3577056017506000010005,2202022  0
ле0000001254                            4021354030037000010003,2402022  0
ле0000001254                            5202888224324000010007,4502022  0
ле0000001254                            5202385021785000010004,5002022  0
ле0000001254                            4013474113103000010007,8802022  0
ле0000001254                            5019781056132000010013,1402022  0
ле0000001254                            5205152004950000010006,7202022  0
ле0000001254                            5205152001423000020004,2102022  0
ле0000001254                            8470001748577000010013,6802022  0
ле0000001254                            3337872413148000010009,0602022  0
ле0000001254                            4719003342821000010037,2802022  0
ле0000001254                            3282770209488000010011,8002022  0
ле0000001254                            3282770037029000010009,5902022  0
ле0000001254                            3282770114669000010015,0002022  0
ле0000001254                            5200312250734000010006,0002022  0
ле0000001254                            4021354031584000010006,2702022  0
ле0000001254                            5213000527698000010010,8002022  0
ле0000001254                            5205152011569000010002,6202022  0
ле0000001254                            5205152002338000010006,6202022  0
ле0000001254                            5205152003397000010004,1702022  0
ле0000001254                            3282770024104000010009,8202022  0
ле0000001254                            3010665      000010003,4502022  0
ле0000001254                            3337875583589000010019,5802022  0
ле0000001254                            3433422407268000010008,3602022  0
ле0000001254                            5205122002917000010007,1002022  0
ле0000001254                            5205122000890000010010,0002022  0
ле0000001254                            5205122001972000010003,5502022  0
ле0000001254                            5213010810117000010007,6002022  0
ле0000001254                            5201100600526000010022,4902022  0
ле0000001254                            0033984013162000010029,8402022  0
ле0000001254                            3337871324599000010006,4902022  0
ле0000001254                            5213000524352000010005,8002022  0
ле0000001254                            5055148400309000010011,8802022  0
