251030081114                            885139991826900003        2025  0
251030081114                            520635502247500001        2025  0
251030081114               010005316    520635502347200002        2025  0
251030081114               010005307    520288822755400001        2025  0
251030081114               010006346    520288828100600001        2025  0
251030081114               010006580    501978101520700001        2025  0
251030081114               010005319    843502592816900001        2025  0
